drink_name,type,size,calories,fat,cholesterol,sodium,carb,sugar,protein,caffeine
Caffè Americano,Hot Coffees,Short,5,0,0,5,1,0,0,75
Caffè Americano,Hot Coffees,Tall,10,0,0,10,1,0,1,150
Caffè Americano,Hot Coffees,Grande,15,0,0,10,2,0,1,225
Caffè Americano,Hot Coffees,Venti,15,0,0,15,3,0,1,300
Blonde Roast,Hot Coffees,Short,5,0,0,5,0,0,0,180
Blonde Roast,Hot Coffees,Tall,5,0,0,10,0,0,0,270
Blonde Roast,Hot Coffees,Grande,5,0,0,10,0,0,1,360
Blonde Roast,Hot Coffees,Venti,5,0,0,10,0,0,1,475
Caffè Misto,Hot Coffees,Short,50,2,10,50,5,5,4,75
Caffè Misto,Hot Coffees,Tall,80,3,15,80,8,8,5,115
Caffè Misto,Hot Coffees,Grande,110,4,15,100,10,10,7,150
Caffè Misto,Hot Coffees,Venti,130,5,20,130,13,13,9,195
Featured Starbucks® Dark Roast Coffee,Hot Coffees,Short,5,0,0,5,0,0,0,130
Featured Starbucks® Dark Roast Coffee,Hot Coffees,Tall,5,0,0,10,0,0,0,195
Featured Starbucks® Dark Roast Coffee,Hot Coffees,Grande,5,0,0,10,0,0,1,260
Featured Starbucks® Dark Roast Coffee,Hot Coffees,Venti,5,0,0,10,0,0,1,340
Pike Place® Roast,Hot Coffees,Short,5,0,0,5,0,0,0,155
Pike Place® Roast,Hot Coffees,Tall,5,0,0,5,0,0,0,235
Pike Place® Roast,Hot Coffees,Grande,5,0,0,10,0,0,1,310
Pike Place® Roast,Hot Coffees,Venti,5,0,0,10,0,0,1,410
Decaf Pike Place® Roast,Hot Coffees,Short,5,0,0,5,0,0,0,15
Decaf Pike Place® Roast,Hot Coffees,Tall,5,0,0,5,0,0,0,20
Decaf Pike Place® Roast,Hot Coffees,Grande,5,0,0,10,0,0,1,25
Decaf Pike Place® Roast,Hot Coffees,Venti,5,0,0,10,0,0,1,30
Cappuccino,Hot Coffees,Short,80,3,10,70,8,7,5,75
Cappuccino,Hot Coffees,Tall,90,3.5,15,80,9,8,6,75
Cappuccino,Hot Coffees,Grande,120,4,15,100,12,10,8,150
Cappuccino,Hot Coffees,Venti,150,6,25,135,16,14,10,150
Espresso,Hot Coffees,Solo,5,0,0,0,1,0,0,75
Espresso,Hot Coffees,Doppio,10,0,0,0,2,0,1,150
Espresso,Hot Coffees,Triple,15,0,0,0,3,0,2,225
Espresso,Hot Coffees,Quad,20,0,0,0,4,0,2,300
Espresso Con Panna,Hot Coffees,Solo,30,2.5,10,0,2,1,0,75
Espresso Con Panna,Hot Coffees,Doppio,35,2.5,10,0,3,1,1,150
Espresso Con Panna,Hot Coffees,Triple,40,2.5,10,0,4,1,1,225
Espresso Con Panna,Hot Coffees,Quad,50,2.5,10,0,5,1,2,300
Flat White,Hot Coffees,Short,110,5,15,70,9,8,6,130
Flat White,Hot Coffees,Tall,170,9,25,115,14,13,9,130
Flat White,Hot Coffees,Grande,220,11,35,150,18,17,12,195
Flat White,Hot Coffees,Venti,290,15,45,200,24,22,15,195
Almondmilk Honey Flat White with Starbucks® Blonde Espresso,Hot Coffees,Short,80,2.5,0,60,15,12,1,150
Almondmilk Honey Flat White with Starbucks® Blonde Espresso,Hot Coffees,Tall,120,4,0,100,22,18,2,150
Almondmilk Honey Flat White with Starbucks® Blonde Espresso,Hot Coffees,Grande,170,5,0,135,30,24,3,225
Almondmilk Honey Flat White with Starbucks® Blonde Espresso,Hot Coffees,Venti,210,7,0,180,38,31,3,225
Pumpkin Spice Latte,Hot Coffees,Short,210,8,35,120,27,26,7,75
Pumpkin Spice Latte,Hot Coffees,Tall,300,11,45,190,40,39,11,75
Pumpkin Spice Latte,Hot Coffees,Grande,380,14,55,240,52,50,14,150
Pumpkin Spice Latte,Hot Coffees,Venti,470,16,60,300,66,64,18,150
Oatmilk Honey Latte,Hot Coffees,Short,140,5,0,85,22,14,2,75
Oatmilk Honey Latte,Hot Coffees,Tall,200,7,0,120,32,21,3,75
Oatmilk Honey Latte,Hot Coffees,Grande,270,10,0,0,42,28,4,150
Oatmilk Honey Latte,Hot Coffees,Venti,360,13,0,210,56,36,6,150
Oatmilk Honey Latte with Starbucks® Blonde Espresso,Hot Coffees,Short,140,5,0,85,22,14,2,85
Oatmilk Honey Latte with Starbucks® Blonde Espresso,Hot Coffees,Tall,200,7,0,120,32,21,3,85
Oatmilk Honey Latte with Starbucks® Blonde Espresso,Hot Coffees,Grande,270,10,0,160,42,28,4,170
Oatmilk Honey Latte with Starbucks® Blonde Espresso,Hot Coffees,Venti,360,13,0,210,56,36,6,170
Coconutmilk Cascara Latte with Starbucks® Blonde Espresso,Hot Coffees,Short,70,3.5,0,80,7,6,1,85
Coconutmilk Cascara Latte with Starbucks® Blonde Espresso,Hot Coffees,Tall,100,6,0,125,11,9,1,85
Coconutmilk Cascara Latte with Starbucks® Blonde Espresso,Hot Coffees,Grande,130,8,0,160,14,12,1,170
Coconutmilk Cascara Latte with Starbucks® Blonde Espresso,Hot Coffees,Venti,170,10,0,210,18,15,2,170
Caffè Latte,Hot Coffees,Short,100,3.5,15,85,10,9,6,75
Caffè Latte,Hot Coffees,Tall,150,6,25,135,15,14,10,75
Caffè Latte,Hot Coffees,Grande,190,7,30,170,19,18,13,150
Caffè Latte,Hot Coffees,Venti,250,9,40,220,24,23,16,150
Cinnamon Dolce Latte,Hot Coffees,Short,190,8,30,80,23,21,6,75
Cinnamon Dolce Latte,Hot Coffees,Tall,270,11,40,130,34,32,9,75
